Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Margem EBITDA *,"40,26%","40,44%","39,42%","35,80%","33,48%","29,88%","32,93%","20,41%","8,50%","13,20%","12,95%","12,40%","20,58%","12,01%","17,79%","6,76%"
Margem operacional,"6,33%","6,28%","4,89%","-5,84%","-11,67%","-5,00%","-2,56%","-0,54%","0,36%","4,62%","2,01%","7,00%","19,91%","6,92%","7,22%","-12,93%"
ROE,"8,73%","9,06%","7,35%","-7,46%","0,36%","-3,37%","-1,61%","-1,39%","0,34%","12,23%","3,28%","10,00%","26,68%","7,13%","128,03%","80,35%"
ROA,"0,02","0,03","0,02","-0,02","0,00","-0,01","-0,01","-0,00","0,00","0,06","0,01","0,05","0,17","0,04","0,09","-0,13"
ROIC,"11,92%","12,12%","9,97%","6,12%","4,15%","3,06%","3,63%","5,49%","3,14%","7,25%","4,74%","7,17%","15,36%","11,10%","14,07%","-2,89%"
ROIC *,"14,19%","14,51%","12,37%","9,35%","6,79%","4,02%","9,78%","5,40%","3,20%","7,30%","6,95%","7,79%","15,36%","11,93%","19,52%","3,44%"
Giro do ativo,"0,39","0,40","0,39","0,39","0,33","0,27","0,31","0,49","0,76","0,78","0,69","0,71","0,73","0,53","1,24","1,05"
EBIT *,1.218 mi,1.199 mi,1.017 mi,801 mi,618 mi,369 mi,318 mi,118 mi,39 mi,86 mi,82 mi,75 mi,121 mi,42 mi,48 mi,7 mi
EBITDA,1.456 mi,1.429 mi,1.301 mi,1.059 mi,952 mi,704 mi,268 mi,243 mi,92 mi,137 mi,98 mi,97 mi,142 mi,52 mi,44 mi,2 mi
EBITDA *,1.652 mi,1.627 mi,1.498 mi,1.336 mi,1.193 mi,792 mi,468 mi,241 mi,93 mi,138 mi,124 mi,103 mi,142 mi,55 mi,57 mi,17 mi
Liquidez corrente,"1,90","2,22","2,17","1,05","1,31","1,06","4,78","1,34","1,76","1,85","1,62","1,66","1,93","5,04","0,84","0,39"
Liquidez seca,"1,90","2,22","2,17","1,05","1,31","1,06","4,78","1,34","1,76","1,85","1,62","1,66","1,93","5,04","0,84","0,39"
Liquidez imediata,"0,07","0,19","0,10","0,08","0,23","0,14","0,17","0,09","0,43","0,15","0,15","0,11","0,09","0,10","0,08","0,01"
Dívida bruta,5.875 mi,5.696 mi,5.309 mi,5.101 mi,5.616 mi,5.057 mi,1.317 mi,1.245 mi,396 mi,275 mi,377 mi,354 mi,129 mi,149 mi,59 mi,106 mi
Dívida líquida,4.142 mi,3.991 mi,4.057 mi,4.195 mi,4.206 mi,4.542 mi,39 mi,1.063 mi,211 mi,159 mi,196 mi,169 mi,-7 mi,-339 mi,54 mi,105 mi
Capital de giro,1.286 mi,1.424 mi,1.121 mi,78 mi,558 mi,76 mi,1.665 mi,115 mi,176 mi,188 mi,165 mi,156 mi,162 mi,471 mi,-12 mi,-79 mi
Endividamento geral,"260,69%","259,03%","248,49%","237,92%","235,22%","309,67%","81,38%","247,61%","117,43%","92,14%","118,32%","83,11%","58,32%","81,76%","1.325,29%","-706,73%"
