ticker,period,Ativo circulante,Ativo total,Passivo circulante,Passivo não circulante,Passivo total,Patrimônio líquido,EBIT,Lucro bruto,Lucro líquido,Receita líquida,Resultado financeiro,Resultado operacional
ABCB4,4T2014,"14,36 B","20,73 B","13,02 B",--,"20,73 B","2,19 B",--,"63,22 M","82,23 M","687,09 M","-457,00 Mil","85,78 M"
ABCB4,4T2015,"17,52 B","23,96 B","14,92 B",--,"23,96 B","2,51 B",--,"216,73 M","105,51 M","526,45 M","245,00 Mil","160,56 M"
ABCB4,4T2016,"19,44 B","25,67 B","15,38 B",--,"25,67 B","2,89 B",--,"168,58 M","108,53 M","664,78 M","-2,54 M","139,33 M"
ABCB4,4T2017,"22,52 B","28,76 B","19,09 B",--,"28,76 B","3,28 B",--,"138,54 M","110,61 M","771,47 M","-8,13 M","122,50 M"
ABCB4,4T2018,"24,81 B","32,72 B","20,62 B",--,"32,72 B","3,67 B",--,"217,64 M","81,77 M","347,58 M","-1,07 M","209,54 M"
ABCB4,4T2019,"25,12 B","37,05 B","24,72 B",--,"37,05 B","4,04 B",--,"218,79 M","145,60 M","243,53 M","-110,00 Mil","200,11 M"
ABCB4,4T2020,--,"43,30 B",--,--,"43,30 B","4,29 B",--,"311,19 M","105,99 M","-468,37 M",--,--
ABCB4,4T2021,--,"49,35 B",--,--,"49,35 B","4,67 B",--,"232,80 M","161,97 M","1,38 B",--,--
ABCB4,4T2022,--,"56,77 B",--,--,"56,77 B","5,21 B",--,"344,59 M","197,27 M","976,55 M",--,--
ABCB4,4T2023,--,"59,80 B",--,--,"59,80 B","5,87 B",--,"321,78 M","231,46 M","1,03 B",--,--
ABCB4,4T2024,--,0,--,--,0,0,--,"1,59 B","971,27 M","10,12 B",--,--
ABCB4,4T2025,--,"63,85 B",--,--,"63,85 B","6,76 B",--,"415,94 M","275,52 M","1,93 B",--,--
ABEV3,1T2013,"77,55 M","1,34 B","46,87 M","334,88 M","1,34 B","958,63 M","3,11 B","5,13 B","2,37 B","7,83 B","-237,76 M",--
