ticker,period,Ativo circulante,Ativo total,Passivo circulante,Passivo não circulante,Passivo total,Patrimônio líquido,EBIT,Lucro bruto,Lucro líquido,Receita líquida,Resultado financeiro,Resultado operacional
CEEB3,2T2018,"3,98 B","14,32 B","3,42 B","6,76 B","14,32 B","4,15 B","295,94 M","435,77 M","171,89 M","2,28 B","-92,50 M",--
CEEB3,2T2019,"3,48 B","15,40 B","2,83 B","7,75 B","15,40 B","4,82 B","446,00 M","609,00 M","295,00 M","2,47 B","-125,00 M",--
CEEB3,2T2020,"5,17 B","20,96 B","4,16 B","11,12 B","20,96 B","5,68 B","271,00 M","471,00 M","174,00 M","2,31 B","-68,00 M",--
CEEB3,2T2021,"4,75 B","22,66 B","4,90 B","11,88 B","22,66 B","5,88 B","651,00 M","841,00 M","420,00 M","3,33 B","-162,00 M",--
CEEB3,2T2022,"6,19 B","25,86 B","4,90 B","14,71 B","25,86 B","6,25 B","950,00 M","1,18 B","467,00 M","3,54 B","-347,00 M",--
CEEB3,2T2023,"5,56 B","26,50 B","6,76 B","13,44 B","26,50 B","6,30 B","795,00 M","1,06 B","430,00 M","3,59 B","-448,00 M",--
CEEB3,2T2024,"5,88 B","29,20 B","6,60 B","15,87 B","29,20 B","6,72 B","868,00 M","1,08 B","345,00 M","3,80 B","-424,00 M",--
CEEB3,2T2025,"5,33 B","31,98 B","6,20 B","17,32 B","31,98 B","8,46 B","1,04 B","1,34 B","721,00 M","4,59 B","-467,00 M",--
CEEB3,3T2011,"1,46 B","6,03 B","1,40 B","2,46 B","6,03 B","2,17 B","280,10 M","406,75 M","204,11 M","1,26 B","-45,18 M",--
CEEB3,3T2012,"1,50 B","6,93 B","1,73 B","2,57 B","6,93 B","2,63 B","248,36 M","460,90 M","165,08 M","1,50 B","-53,97 M",--
CEEB3,3T2013,"1,24 B","6,97 B","1,52 B","2,68 B","6,97 B","2,78 B","139,27 M","294,52 M","91,71 M","1,19 B","-32,26 M",--
CEEB3,3T2014,"1,67 B","7,83 B","1,69 B","3,49 B","7,83 B","2,64 B","141,38 M","210,15 M","43,15 M","1,27 B","-92,58 M",--
CEEB3,3T2015,"2,22 B","9,03 B","2,04 B","4,02 B","9,03 B","2,97 B","123,25 M","289,92 M","29,80 M","1,49 B","-86,25 M",--
CEEB3,3T2016,"1,70 B","9,30 B","2,12 B","4,03 B","9,30 B","3,15 B","121,76 M","286,70 M","21,69 M","1,73 B","-114,92 M",--
CEEB3,3T2017,"3,60 B","13,05 B","4,39 B","5,60 B","13,05 B","3,07 B","112,66 M","259,61 M","-17,52 M","2,33 B","-138,78 M",--
CEEB3,3T2018,"5,06 B","15,87 B","3,59 B","7,08 B","15,87 B","5,20 B","383,33 M","499,30 M","237,64 M","2,55 B","-77,58 M",--
CEEB3,3T2019,"4,04 B","18,45 B","3,33 B","10,10 B","18,45 B","5,02 B","387,00 M","552,00 M","208,00 M","2,65 B","-130,00 M",--
CEEB3,3T2020,"4,36 B","20,95 B","3,84 B","11,13 B","20,95 B","5,99 B","448,00 M","638,00 M","301,00 M","2,81 B","-64,00 M",--
CEEB3,3T2021,"4,88 B","23,44 B","5,50 B","11,57 B","23,44 B","6,36 B","815,00 M","996,00 M","481,00 M","4,03 B","-189,00 M",--
CEEB3,3T2022,"6,04 B","26,02 B","5,17 B","15,24 B","26,02 B","5,60 B","496,00 M","704,00 M","195,00 M","3,32 B","-322,00 M",--
CEEB3,3T2023,"6,15 B","27,75 B","7,81 B","14,02 B","27,75 B","5,92 B","751,00 M","983,00 M","270,00 M","3,61 B","-431,00 M",--
CEEB3,3T2024,"5,12 B","28,93 B","6,71 B","15,27 B","28,93 B","6,96 B","765,00 M","1,01 B","294,00 M","3,85 B","-423,00 M",--
CEEB3,3T2025,"5,87 B","33,38 B","6,16 B","18,65 B","33,38 B","8,57 B","887,00 M","1,19 B","247,00 M","4,70 B","-599,00 M",--
CEEB3,4T2010,"1,31 B","5,37 B","1,13 B","1,86 B","5,37 B","2,38 B","342,33 M","439,30 M","264,45 M","1,22 B","-26,51 M",--
CEEB3,4T2011,"1,35 B","6,00 B","1,26 B","2,44 B","6,00 B","2,30 B","205,64 M","460,79 M","138,09 M","1,39 B","-48,03 M",--
CEEB3,4T2012,"1,49 B","6,98 B","1,67 B","3,30 B","6,98 B","2,02 B","180,62 M","387,15 M","181,85 M","1,60 B","14,67 M",--
CEEB3,4T2013,"1,74 B","7,84 B","1,71 B","3,63 B","7,84 B","2,50 B","185,21 M","364,68 M","80,21 M","1,14 B","-85,70 M",--
CEEB3,4T2014,"1,92 B","8,62 B","1,73 B","4,13 B","8,62 B","2,76 B","508,92 M","940,95 M","324,06 M","1,97 B","-147,50 M",--
CEEB3,4T2015,"2,56 B","10,70 B","2,66 B","5,05 B","10,70 B","2,99 B","211,49 M","400,43 M","73,20 M","1,88 B","-86,24 M",--
CEEB3,4T2016,"2,16 B","10,53 B","3,03 B","4,54 B","10,53 B","2,96 B","174,95 M","245,55 M","82,34 M","1,96 B","-115,47 M",--
CEEB3,4T2017,"3,01 B","12,55 B","3,93 B","5,46 B","12,55 B","3,17 B","180,51 M","289,74 M","52,46 M","2,08 B","-99,31 M",--
CEEB3,4T2018,"3,35 B","14,53 B","2,72 B","6,61 B","14,53 B","5,21 B","303,09 M","504,30 M","179,39 M","2,41 B","-118,86 M",--
CEEB3,4T2019,"4,51 B","18,95 B","3,82 B","9,90 B","18,95 B","5,22 B","400,00 M","600,00 M","275,00 M","2,55 B","-111,00 M",--
CEEB3,4T2020,"4,14 B","20,92 B","3,48 B","11,34 B","20,92 B","6,11 B","630,00 M","813,00 M","470,00 M","3,64 B","-104,00 M",--
CEEB3,4T2021,"5,64 B","24,40 B","5,00 B","13,22 B","24,40 B","6,18 B","798,00 M","993,00 M","431,00 M","3,79 B","-293,00 M",--
CEEB3,4T2022,"5,39 B","25,63 B","5,74 B","13,98 B","25,63 B","5,91 B","817,00 M","1,04 B","387,00 M","3,45 B","-361,00 M",--
CEEB3,4T2023,"6,08 B","27,88 B","6,96 B","14,48 B","27,88 B","6,44 B","1,06 B","1,24 B","569,00 M","3,91 B","-425,00 M",--
CEEB3,4T2024,"6,35 B","31,28 B","6,67 B","17,19 B","31,28 B","7,42 B","1,23 B","1,51 B","629,00 M","4,87 B","-463,00 M",--
CEEB3,4T2025,"7,62 B","35,86 B","6,38 B","21,63 B","35,86 B","7,85 B","1,12 B","1,41 B","498,00 M","4,89 B","-495,00 M",--
CEGR3,1T2011,"351,19 M","1,92 B","580,60 M","552,70 M","1,92 B","789,20 M","81,39 M","161,82 M","38,63 M","550,24 M","-20,58 M",--
CEGR3,1T2012,"380,45 M","1,96 B","537,40 M","500,15 M","1,96 B","917,98 M","90,68 M","186,90 M","50,64 M","550,21 M","-13,79 M",--
CEGR3,1T2013,"431,77 M","2,08 B","567,02 M","551,07 M","2,08 B","957,22 M","119,32 M","211,40 M","71,91 M","715,79 M","-10,14 M",--
CEGR3,1T2014,"422,61 M","2,15 B","591,43 M","546,80 M","2,15 B","1,01 B","102,72 M","192,19 M","59,08 M","756,13 M","-12,82 M",--
CEGR3,1T2015,"533,52 M","2,52 B","671,00 M","844,00 M","2,52 B","1,00 B","102,72 M","202,21 M","60,66 M","876,17 M","-10,32 M",--
CEGR3,1T2016,"491,73 M","2,64 B","802,08 M","714,07 M","2,64 B","1,12 B","100,31 M","196,38 M","46,71 M","793,73 M","-27,02 M",--
CEGR3,1T2017,"601,80 M","2,89 B","943,55 M","647,83 M","2,89 B","1,30 B","94,98 M","194,75 M","43,58 M","738,70 M","-28,60 M",--
CEGR3,1T2018,"561,66 M","3,04 B","689,78 M","977,50 M","3,04 B","1,38 B",0,0,0,0,0,--
CEGR3,1T2019,"803,31 M","3,35 B","1,01 B","973,57 M","3,35 B","1,36 B",0,0,0,0,0,--
CEGR3,1T2020,"614,96 M","3,22 B","858,03 M","1,37 B","3,22 B","1,00 B","160,60 M","257,21 M","88,71 M","874,08 M","-26,61 M",--
CEGR3,1T2021,"834,16 M","3,42 B","642,77 M","1,51 B","3,42 B","1,27 B","128,25 M","226,05 M","71,71 M","812,96 M","-18,49 M",--
CEGR3,1T2022,"877,93 M","3,74 B","1,42 B","1,24 B","3,74 B","1,08 B","142,70 M","259,67 M","63,40 M","1,25 B","-46,40 M",--
CEGR3,1T2023,"1,15 B","4,31 B","1,36 B","1,73 B","4,31 B","1,23 B","169,21 M","332,70 M","75,79 M","1,41 B","-53,32 M",--
CEGR3,1T2024,"1,22 B","4,60 B","996,47 M","2,15 B","4,60 B","1,45 B","137,15 M","292,60 M","64,01 M","1,24 B","-38,80 M",--
CEGR3,1T2025,"1,33 B","4,79 B","1,49 B","1,62 B","4,79 B","1,67 B","155,55 M","292,27 M","82,82 M","1,13 B","-25,81 M",--
CEGR3,2T2011,"403,98 M","1,97 B","685,34 M","489,33 M","1,97 B","793,87 M","109,60 M","195,61 M","61,32 M","595,29 M","-16,50 M",--
CEGR3,2T2012,"472,49 M","2,05 B","643,97 M","590,56 M","2,05 B","812,09 M","122,08 M","213,60 M","73,94 M","683,96 M","-9,41 M",--
CEGR3,2T2013,"537,04 M","2,20 B","878,71 M","494,20 M","2,20 B","828,59 M","139,47 M","241,63 M","86,08 M","858,25 M","-9,03 M",--
CEGR3,2T2014,"623,32 M","2,36 B","783,17 M","729,87 M","2,36 B","842,96 M","145,25 M","246,31 M","89,80 M","861,78 M","-8,30 M",--
CEGR3,2T2015,"505,73 M","2,53 B","760,04 M","780,35 M","2,53 B","989,84 M","129,53 M","240,15 M","67,60 M","919,93 M","-20,33 M",--
CEGR3,2T2016,"535,25 M","2,72 B","901,51 M","642,12 M","2,72 B","1,17 B","120,83 M","237,79 M","58,93 M","709,56 M","-31,09 M",--
CEGR3,2T2017,"624,33 M","2,94 B","979,27 M","701,66 M","2,94 B","1,26 B","154,14 M","263,43 M","84,44 M","917,37 M","-25,52 M",--
CEGR3,2T2018,"697,97 M","3,18 B","784,58 M","1,05 B","3,18 B","1,34 B","163,19 M","271,88 M","96,00 M","1,03 B","-17,59 M",--
CEGR3,2T2019,"707,51 M","3,22 B","1,12 B","926,15 M","3,22 B","1,18 B","162,96 M","248,65 M","92,18 M","1,04 B","-21,71 M",--
CEGR3,2T2020,"926,64 M","3,54 B","1,28 B","1,19 B","3,54 B","1,08 B","135,23 M","238,29 M","74,02 M","699,46 M","-22,18 M",--
CEGR3,2T2021,"1,07 B","3,66 B","1,11 B","1,43 B","3,66 B","1,12 B","186,27 M","285,78 M","111,44 M","1,04 B","-17,19 M",--
CEGR3,2T2022,"1,10 B","3,96 B","1,03 B","1,77 B","3,96 B","1,16 B","237,22 M","360,73 M","116,03 M","1,59 B","-58,27 M",--
CEGR3,2T2023,"1,20 B","4,41 B","1,42 B","1,79 B","4,41 B","1,20 B","296,55 M","416,91 M","166,78 M","1,43 B","-41,86 M",--
CEGR3,2T2024,"1,28 B","4,66 B","1,45 B","1,87 B","4,66 B","1,35 B","231,57 M","334,06 M","128,71 M","1,26 B","-33,20 M",--
CEGR3,2T2025,"954,90 M","4,51 B","1,48 B","1,23 B","4,51 B","1,80 B","231,28 M","372,39 M","122,56 M","1,22 B","-37,94 M",--
CEGR3,3T2011,"374,82 M","1,94 B","580,41 M","490,99 M","1,94 B","870,64 M","134,54 M","226,77 M","77,21 M","602,39 M","-19,50 M",--
CEGR3,3T2012,"436,11 M","2,01 B","585,23 M","526,95 M","2,01 B","896,03 M","141,57 M","223,02 M","84,35 M","664,43 M","-13,55 M",--
CEGR3,3T2013,"507,42 M","2,19 B","653,39 M","612,94 M","2,19 B","922,58 M","159,02 M","254,14 M","94,19 M","788,44 M","-14,88 M",--
CEGR3,3T2014,"542,65 M","2,32 B","695,81 M","695,53 M","2,32 B","928,70 M","150,32 M","257,09 M","86,55 M","937,10 M","-19,17 M",--
CEGR3,3T2015,"579,15 M","2,64 B","794,83 M","774,16 M","2,64 B","1,07 B","143,01 M","259,84 M","77,92 M","991,30 M","-24,34 M",--
CEGR3,3T2016,"517,15 M","2,73 B","747,24 M","724,14 M","2,73 B","1,26 B","159,06 M","261,59 M","86,33 M","780,77 M","-27,76 M",--
CEGR3,3T2017,"820,04 M","3,17 B","1,13 B","676,47 M","3,17 B","1,36 B","175,50 M","285,77 M","98,52 M","1,07 B","-25,75 M",--
CEGR3,3T2018,"844,47 M","3,34 B","934,58 M","970,82 M","3,34 B","1,43 B","174,12 M","285,07 M","94,71 M","1,22 B","-30,51 M",--
CEGR3,3T2019,"785,87 M","3,36 B","1,02 B","1,08 B","3,36 B","1,27 B","133,61 M","331,25 M","89,35 M","1,21 B","2,02 M",--
CEGR3,3T2020,"882,13 M","3,50 B","1,09 B","1,22 B","3,50 B","1,18 B","179,03 M","279,20 M","105,76 M","754,85 M","-18,91 M",--
CEGR3,3T2021,"1,11 B","3,91 B","1,20 B","1,45 B","3,91 B","1,26 B","231,75 M","330,51 M","138,26 M","1,26 B","-20,95 M",--
CEGR3,3T2022,"1,22 B","4,11 B","1,17 B","1,62 B","4,11 B","1,32 B","283,12 M","414,83 M","156,18 M","1,68 B","-44,67 M",--
CEGR3,3T2023,"1,23 B","4,50 B","1,32 B","1,77 B","4,50 B","1,40 B","658,82 M","1,03 B","359,73 M","3,85 B","-107,45 M",--
CEGR3,3T2024,"1,34 B","4,74 B","1,35 B","1,87 B","4,74 B","1,52 B","290,10 M","402,16 M","167,00 M","1,35 B","-35,44 M",--
CEGR3,3T2025,"1,09 B","4,67 B","1,43 B","1,24 B","4,67 B","2,00 B","363,68 M","492,65 M","204,45 M","1,28 B","-46,69 M",--
CEGR3,4T2010,"417,37 M","2,01 B","697,72 M","561,06 M","2,01 B","750,56 M","98,35 M","179,40 M","67,86 M","695,70 M","-23,64 M",--
CEGR3,4T2011,"348,66 M","1,93 B","576,95 M","483,15 M","1,93 B","867,92 M","103,69 M","196,17 M","74,50 M","556,13 M","-11,01 M",--
CEGR3,4T2012,"420,78 M","2,06 B","627,19 M","543,92 M","2,06 B","885,98 M","116,24 M","223,00 M","81,45 M","837,23 M","-10,47 M",--
CEGR3,4T2013,"441,16 M","2,15 B","627,54 M","567,05 M","2,15 B","951,72 M","126,47 M","243,81 M","89,08 M","755,26 M","-9,05 M",--
CEGR3,4T2014,"537,97 M","2,52 B","714,08 M","858,08 M","2,52 B","943,80 M","133,22 M","226,56 M","85,50 M","969,10 M","-18,86 M",--
CEGR3,4T2015,"543,90 M","2,66 B","862,24 M","723,63 M","2,66 B","1,07 B","130,10 M","159,46 M","78,22 M","940,69 M","-34,16 M",--
CEGR3,4T2016,"538,78 M","2,81 B","857,48 M","692,21 M","2,81 B","1,26 B","141,29 M","226,19 M","98,73 M","836,22 M","-25,66 M",--
CEGR3,4T2017,"634,49 M","3,10 B","887,27 M","869,27 M","3,10 B","1,34 B","160,04 M","280,59 M","112,31 M","1,11 B","-26,57 M",--
CEGR3,4T2018,"705,96 M","3,26 B","852,30 M","1,11 B","3,26 B","1,29 B","-27,63 M","252,47 M","-68,02 M","1,06 B","-109,06 M",--
CEGR3,4T2019,"631,55 M","3,25 B","972,04 M","1,36 B","3,25 B","913,04 M","178,13 M","274,00 M","124,72 M","1,26 B","-8,15 M",--
CEGR3,4T2020,"811,62 M","3,41 B","1,02 B","1,20 B","3,41 B","1,19 B","136,93 M","271,15 M","83,58 M","856,60 M","-22,79 M",--
CEGR3,4T2021,"903,84 M","3,74 B","1,45 B","1,27 B","3,74 B","1,02 B","221,43 M","326,07 M","148,57 M","1,30 B","-9,81 M",--
CEGR3,4T2022,"1,17 B","4,27 B","1,12 B","2,00 B","4,27 B","1,15 B","172,84 M","362,36 M","-61,66 M","1,61 B","-294,51 M",--
CEGR3,4T2023,"1,21 B","4,53 B","1,06 B","2,08 B","4,53 B","1,39 B","227,93 M","373,23 M","150,09 M","1,34 B","-35,08 M",--
CEGR3,4T2024,"1,20 B","4,65 B","1,43 B","1,63 B","4,65 B","1,59 B","242,02 M","389,94 M","167,03 M","1,31 B","-31,73 M",--
CEGR3,4T2025,"1,06 B","4,67 B","1,51 B","1,12 B","4,67 B","2,04 B","293,36 M","436,42 M","205,46 M","1,19 B","-35,21 M",--
CGAS3,1T2011,"687,28 M","3,82 B","1,02 B","1,35 B","3,82 B","1,44 B","134,84 M","281,42 M","68,24 M","925,35 M","-31,68 M",--
CGAS3,1T2012,"874,10 M","4,50 B","1,42 B","1,76 B","4,50 B","1,32 B","153,05 M","318,94 M","74,51 M","1,12 B","-39,75 M",--
CGAS3,1T2013,"1,28 B","6,22 B","1,89 B","2,04 B","6,22 B","2,29 B","234,65 M","415,37 M","121,59 M","1,45 B","-50,02 M",--
CGAS3,1T2014,"1,74 B","7,17 B","1,38 B","3,01 B","7,17 B","2,78 B","254,32 M","448,41 M","128,44 M","1,52 B","-56,55 M",--
CGAS3,1T2015,"2,25 B","8,16 B","1,81 B","3,19 B","8,16 B","3,16 B","166,67 M","379,39 M","50,51 M","1,53 B","-73,96 M",--
CGAS3,1T2016,"1,71 B","7,66 B","1,89 B","3,57 B","7,66 B","2,20 B","432,05 M","631,49 M","220,97 M","1,46 B","-96,08 M",--
CGAS3,1T2017,"2,82 B","8,20 B","2,25 B","3,59 B","8,20 B","2,36 B","211,15 M","426,15 M","103,64 M","1,15 B","-41,42 M",--
CGAS3,1T2018,"2,97 B","8,27 B","2,59 B","3,49 B","8,27 B","2,19 B","287,43 M","488,44 M","179,09 M","1,43 B","-21,63 M",--
CGAS3,1T2019,"3,36 B","8,60 B","2,00 B","3,68 B","8,60 B","2,92 B","362,23 M","561,12 M","200,06 M","2,06 B","-52,48 M",--
CGAS3,1T2020,"2,49 B","8,47 B","2,40 B","5,31 B","8,47 B","763,46 M","596,09 M","795,60 M","378,92 M","2,31 B","-34,87 M",--
CGAS3,1T2021,"3,44 B","9,97 B","1,87 B","7,16 B","9,97 B","939,70 M","485,01 M","592,53 M","498,97 M","2,30 B","-61,76 M",--
CGAS3,1T2022,"5,70 B","12,91 B","4,02 B","8,01 B","12,91 B","874,78 M","590,86 M","750,41 M","468,89 M","3,58 B","-151,13 M",--
CGAS3,1T2023,"5,02 B","12,98 B","5,57 B","7,58 B","12,98 B","-177,46 M","721,97 M","819,19 M","-793,13 M","3,86 B","-473,09 M",--
CGAS3,1T2024,"5,62 B","14,98 B","5,59 B","8,53 B","14,98 B","861,74 M","603,38 M","720,94 M","322,20 M","3,56 B","-137,18 M",--
CGAS3,1T2025,"3,69 B","14,03 B","1,89 B","10,71 B","14,03 B","1,42 B","638,97 M","749,36 M","286,32 M","3,01 B","-207,29 M",--
CGAS3,2T2011,"741,43 M","3,95 B","1,31 B","1,44 B","3,95 B","1,20 B","162,32 M","306,40 M","92,34 M","1,01 B","-42,88 M",--
CGAS3,2T2012,"944,63 M","4,75 B","1,68 B","1,72 B","4,75 B","1,36 B","98,05 M","271,33 M","37,69 M","1,28 B","-47,63 M",--
CGAS3,2T2013,"1,43 B","6,58 B","1,96 B","2,17 B","6,58 B","2,46 B","298,46 M","426,23 M","167,85 M","1,61 B","-44,01 M",--
CGAS3,2T2014,"1,83 B","7,23 B","1,24 B","3,03 B","7,23 B","2,96 B","320,32 M","525,12 M","179,75 M","1,62 B","-47,20 M",--
CGAS3,2T2015,"2,21 B","8,12 B","1,98 B","3,07 B","8,12 B","3,07 B","384,27 M","580,09 M","215,48 M","1,67 B","-58,29 M",--
CGAS3,2T2016,"2,17 B","7,86 B","1,94 B","3,39 B","7,86 B","2,53 B","549,85 M","764,53 M","330,43 M","1,49 B","-45,93 M",--
CGAS3,2T2017,"3,11 B","8,46 B","2,44 B","3,51 B","8,46 B","2,51 B","268,70 M","492,85 M","146,33 M","1,36 B","-41,19 M",--
CGAS3,2T2018,"3,72 B","9,05 B","2,81 B","3,93 B","9,05 B","2,30 B","244,94 M","452,44 M","114,01 M","1,59 B","-65,93 M",--
CGAS3,2T2019,"3,80 B","9,15 B","2,25 B","3,61 B","9,15 B","3,28 B","587,53 M","787,93 M","362,09 M","2,34 B","-36,90 M",--
CGAS3,2T2020,"5,12 B","11,24 B","3,99 B","6,33 B","11,24 B","922,92 M","283,93 M","512,31 M","158,68 M","1,41 B","-38,69 M",--
CGAS3,2T2021,"4,02 B","11,75 B","2,59 B","7,67 B","11,75 B","1,49 B","765,40 M","709,61 M","552,45 M","2,70 B","6,70 M",--
CGAS3,2T2022,"5,13 B","12,63 B","3,34 B","8,04 B","12,63 B","1,24 B","724,40 M","875,45 M","377,95 M","4,37 B","-182,73 M",--
CGAS3,2T2023,"5,38 B","13,78 B","5,18 B","8,50 B","13,78 B","98,61 M","740,89 M","839,39 M","275,65 M","3,91 B","-292,35 M",--
CGAS3,2T2024,"4,72 B","14,24 B","4,24 B","8,60 B","14,24 B","1,41 B","960,62 M","822,32 M","543,76 M","3,78 B","-169,02 M",--
CGAS3,2T2025,"3,94 B","14,39 B","2,88 B","9,80 B","14,39 B","1,72 B","758,14 M","881,76 M","389,54 M","3,01 B","-218,76 M",--
CGAS3,3T2011,"897,46 M","4,31 B","1,35 B","1,72 B","4,31 B","1,24 B","125,87 M","283,38 M","40,40 M","1,10 B","-66,17 M",--
CGAS3,3T2012,"1,06 B","4,95 B","1,81 B","1,66 B","4,95 B","1,48 B","240,96 M","423,46 M","128,04 M","1,41 B","-47,31 M",--
CGAS3,3T2013,"1,39 B","6,70 B","1,75 B","2,33 B","6,70 B","2,62 B","284,84 M","483,96 M","155,88 M","1,68 B","-48,12 M",--
CGAS3,3T2014,"1,90 B","7,42 B","1,35 B","2,95 B","7,42 B","3,12 B","279,00 M","494,83 M","154,22 M","1,64 B","-48,12 M",--
CGAS3,3T2015,"2,38 B","8,42 B","2,08 B","3,07 B","8,42 B","3,26 B","296,68 M","501,67 M","192,34 M","1,74 B","890,00 Mil",--
CGAS3,3T2016,"2,51 B","8,17 B","2,03 B","3,39 B","8,17 B","2,75 B","391,37 M","615,43 M","215,98 M","1,38 B","-55,67 M",--
CGAS3,3T2017,"3,43 B","8,78 B","2,95 B","3,11 B","8,78 B","2,72 B","375,16 M","599,13 M","207,93 M","1,54 B","-57,27 M",--
CGAS3,3T2018,"3,61 B","8,98 B","2,64 B","3,84 B","8,98 B","2,49 B","301,79 M","523,70 M","187,49 M","1,90 B","-55,43 M",--
CGAS3,3T2019,"4,26 B","9,74 B","2,56 B","3,46 B","9,74 B","3,72 B","676,54 M","919,34 M","437,86 M","2,59 B","-26,68 M",--
CGAS3,3T2020,"5,36 B","11,59 B","3,86 B","6,52 B","11,59 B","1,21 B","540,29 M","742,63 M","292,14 M","2,22 B","-99,01 M",--
CGAS3,3T2021,"5,61 B","13,52 B","2,71 B","8,69 B","13,52 B","2,12 B","781,09 M","918,25 M","655,90 M","3,18 B","-99,89 M",--
CGAS3,3T2022,"5,39 B","12,96 B","3,29 B","8,00 B","12,96 B","1,66 B","729,73 M","939,98 M","455,36 M","4,96 B","-145,90 M",--
CGAS3,3T2023,"5,37 B","14,01 B","5,13 B","8,44 B","14,01 B","444,32 M","749,02 M","810,08 M","359,99 M","3,74 B","-191,68 M",--
CGAS3,3T2024,"5,58 B","15,39 B","4,17 B","10,22 B","15,39 B","994,05 M","779,18 M","895,68 M","388,55 M","4,13 B","-196,35 M",--
CGAS3,3T2025,"4,28 B","14,87 B","2,99 B","9,86 B","14,87 B","2,03 B","837,47 M","964,96 M","403,12 M","2,92 B","-228,75 M",--
CGAS3,4T2010,"763,70 M","3,85 B","1,12 B","1,35 B","3,85 B","1,38 B","214,86 M","373,07 M","127,32 M","1,05 B","-33,90 M",--
CGAS3,4T2011,"758,98 M","4,31 B","1,29 B","1,77 B","4,31 B","1,25 B","52,66 M","234,84 M","35,16 M","1,07 B","-19,23 M",--
CGAS3,4T2012,"1,11 B","6,01 B","1,90 B","1,93 B","6,01 B","2,17 B","185,48 M","383,92 M","130,24 M","1,47 B","-28,96 M",--
CGAS3,4T2013,"1,50 B","6,92 B","1,40 B","2,86 B","6,92 B","2,66 B","253,91 M","454,51 M","173,59 M","1,60 B","-48,84 M",--
CGAS3,4T2014,"1,85 B","7,64 B","1,50 B","3,03 B","7,64 B","3,11 B","196,25 M","423,83 M","149,19 M","1,61 B","-41,15 M",--
CGAS3,4T2015,"2,79 B","8,87 B","2,05 B","3,64 B","8,87 B","3,18 B","322,93 M","555,66 M","240,53 M","1,65 B","-50,53 M",--
CGAS3,4T2016,"3,01 B","8,67 B","1,99 B","4,09 B","8,67 B","2,59 B","202,42 M","471,66 M","133,71 M","1,32 B","-65,49 M",--
CGAS3,4T2017,"3,30 B","8,67 B","3,13 B","3,52 B","8,67 B","2,02 B","288,08 M","527,35 M","182,22 M","1,50 B","-85,66 M",--
CGAS3,4T2018,"3,23 B","8,36 B","1,92 B","3,72 B","8,36 B","2,72 B","1,01 B","473,72 M","858,84 M","1,92 B","221,76 M",--
CGAS3,4T2019,"2,79 B","8,45 B","2,81 B","5,12 B","8,45 B","519,51 M","548,05 M","843,49 M","367,17 M","2,53 B","-64,33 M",--
CGAS3,4T2020,"4,23 B","10,62 B","3,61 B","6,42 B","10,62 B","590,05 M","583,04 M","760,88 M","320,88 M","2,38 B","-110,91 M",--
CGAS3,4T2021,"4,15 B","12,27 B","4,54 B","6,63 B","12,27 B","1,11 B","547,84 M","859,58 M","411,80 M","3,54 B","-150,11 M",--
CGAS3,4T2022,"4,81 B","12,66 B","3,84 B","7,79 B","12,66 B","1,03 B","678,79 M","667,94 M","509,28 M","4,08 B","-130,33 M",--
CGAS3,4T2023,"4,63 B","13,74 B","3,88 B","8,17 B","13,74 B","1,69 B","704,60 M","763,77 M","1,57 B","3,66 B","180,03 M",--
CGAS3,4T2024,"5,28 B","15,59 B","3,68 B","10,78 B","15,59 B","1,13 B","730,28 M","882,17 M","537,95 M","3,97 B","63,94 M",--
CGAS3,4T2025,"4,09 B","14,95 B","2,68 B","10,83 B","14,95 B","1,44 B","754,74 M","903,77 M","467,50 M","2,65 B","-241,90 M",--
CGAS5,1T2011,"687,28 M","3,82 B","1,02 B","1,35 B","3,82 B","1,44 B","134,84 M","281,42 M","68,24 M","925,35 M","-31,68 M",--
CGAS5,1T2012,"874,10 M","4,50 B","1,42 B","1,76 B","4,50 B","1,32 B","153,05 M","318,94 M","74,51 M","1,12 B","-39,75 M",--
CGAS5,1T2013,"1,28 B","6,22 B","1,89 B","2,04 B","6,22 B","2,29 B","234,65 M","415,37 M","121,59 M","1,45 B","-50,02 M",--
CGAS5,1T2014,"1,74 B","7,17 B","1,38 B","3,01 B","7,17 B","2,78 B","254,32 M","448,41 M","128,44 M","1,52 B","-56,55 M",--
CGAS5,1T2015,"2,25 B","8,16 B","1,81 B","3,19 B","8,16 B","3,16 B","166,67 M","379,39 M","50,51 M","1,53 B","-73,96 M",--
CGAS5,1T2016,"1,71 B","7,66 B","1,89 B","3,57 B","7,66 B","2,20 B","432,05 M","631,49 M","220,97 M","1,46 B","-96,08 M",--
CGAS5,1T2017,"2,82 B","8,20 B","2,25 B","3,59 B","8,20 B","2,36 B","211,15 M","426,15 M","103,64 M","1,15 B","-41,42 M",--
CGAS5,1T2018,"2,97 B","8,27 B","2,59 B","3,49 B","8,27 B","2,19 B","287,43 M","488,44 M","179,09 M","1,43 B","-21,63 M",--
CGAS5,1T2019,"3,36 B","8,60 B","2,00 B","3,68 B","8,60 B","2,92 B","362,23 M","561,12 M","200,06 M","2,06 B","-52,48 M",--
CGAS5,1T2020,"2,49 B","8,47 B","2,40 B","5,31 B","8,47 B","763,46 M","596,09 M","795,60 M","378,92 M","2,31 B","-34,87 M",--
CGAS5,1T2021,"3,44 B","9,97 B","1,87 B","7,16 B","9,97 B","939,70 M","485,01 M","592,53 M","498,97 M","2,30 B","-61,76 M",--
