ticker,rating,rating_risco,rating_reason,latest_period_indicadores,latest_period_balancos,latest_period_resultados,receita_latest_period,divida_bruta,divida_liquida,endividamento_geral,liquidez_corrente,margem_ebit,margem_liquida,p_l,p_vp,psr,roa,roe,roic,ativo_total,caixa_e_eq_de_caixa,emprest_de_longo_prazo,emprestimos_e_financ,passivo_circulante,passivo_nao_circulante,passivo_total,patrimonio_liquido,ebit_ttm,lucro_bruto_ttm,lucro_liquido_ttm,receita_liquida_ttm,resultado_financeiro_ttm,resultado_operacional_ttm,passivo_ativo,divida_liquida_pl,liquidez_ajustada,receita_liquida_latest_quarter,receita_liquida_same_quarter_previous_year,receita_liquida_growth_yoy
ENGI11,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",4T2025 (TTM),1T2026,1T2026,1T2026,44562000000.0,34089000000.0,2.9402,1.56,0.1905,0.0886,59.66,6.88,3.73,0.04,0.1482,0.09630000000000001,86720000000.0,1140000000.0,39960000000.0,5620000000.0,13050000000.0,52040000000.0,86720000000.0,21640000000.0,6660000000.0,8830000000.0,2688130000.0,36030000000.0,-3831740000.0,,1.0,1.5752772643253234,1.56,9000000000.0,8410000000.0,0.07015457788347201
ENGI3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",4T2025 (TTM),1T2026,1T2026,1T2026,44562000000.0,34089000000.0,2.9402,1.56,0.1905,0.0886,14.51,1.67,0.91,0.04,0.1482,0.09630000000000001,86720000000.0,1140000000.0,39960000000.0,5620000000.0,13050000000.0,52040000000.0,86720000000.0,21640000000.0,6660000000.0,8830000000.0,2688130000.0,36030000000.0,-3831740000.0,,1.0,1.5752772643253234,1.56,9000000000.0,8410000000.0,0.07015457788347201
ENGI4,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",4T2025 (TTM),1T2026,1T2026,1T2026,44562000000.0,34089000000.0,2.9402,1.56,0.1905,0.0886,11.24,1.3,0.7,0.04,0.1482,0.09630000000000001,86720000000.0,1140000000.0,39960000000.0,5620000000.0,13050000000.0,52040000000.0,86720000000.0,21640000000.0,6660000000.0,8830000000.0,2688130000.0,36030000000.0,-3831740000.0,,1.0,1.5752772643253234,1.56,9000000000.0,8410000000.0,0.07015457788347201
ISAE3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,16296000000.0,14987000000.0,1.1975,4.0,0.43100000000000005,0.2529,9.5,1.04,2.34,0.05,0.1103,0.0883,47940000000.0,639620000.0,15890000000.0,408550000.0,1620000000.0,24510000000.0,47940000000.0,21820000000.0,4097970000.0,3688530000.0,2405470000.0,9510000000.0,-1483070000.0,,1.0,0.6868469294225481,4.0,2510000000.0,2410000000.0,0.04149377593361003
ISAE4,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,16296000000.0,14987000000.0,1.1975,4.0,0.43100000000000005,0.2529,8.02,0.88,1.98,0.05,0.1103,0.0883,47940000000.0,639620000.0,15890000000.0,408550000.0,1620000000.0,24510000000.0,47940000000.0,21820000000.0,4097970000.0,3688530000.0,2405470000.0,9510000000.0,-1483070000.0,,1.0,0.6868469294225481,4.0,2510000000.0,2410000000.0,0.04149377593361003
ITSA3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",4T2025 (TTM),1T2026,1T2026,1T2026,10785000000.0,4866000000.0,0.1907,3.18,2.1965,2.0063,9.43,1.75,18.85,0.15,0.1772,0.174,114500000000.0,5030000000.0,10020000000.0,1200000000.0,5340000000.0,14210000000.0,114500000000.0,94960000000.0,18570000000.0,2118000000.0,17060000000.0,8370000000.0,-1596000000.0,,1.0,0.051242628475147434,3.18,2020000000.0,1900000000.0,0.06315789473684208
ITSA4,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,11221000000.0,4250000000.0,0.20579999999999998,2.38,2.2197,2.0391,8.48,1.6,17.21,0.15,0.1796,0.1745,114500000000.0,5030000000.0,10020000000.0,1200000000.0,5340000000.0,14210000000.0,114500000000.0,94960000000.0,18570000000.0,2118000000.0,17060000000.0,8370000000.0,-1596000000.0,,1.0,0.04475568660488627,2.38,2020000000.0,1900000000.0,0.06315789473684208
ITUB3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,,,,0.77,,1.4579,9.52,2.21,13.88,0.1,0.2324,,479310000000.0,,,,277200000000.0,,479310000000.0,199780000000.0,,11590000000.0,46440000000.0,31850000000.0,-3000000.0,44490000000.0,1.0,,0.77,8109999999.999999,6940000000.0,0.16858789625360227
ITUB4,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,,,,0.77,,1.4579,9.41,2.19,13.72,0.1,0.2324,,479310000000.0,,,,277200000000.0,,479310000000.0,199780000000.0,,11590000000.0,46440000000.0,31850000000.0,-3000000.0,44490000000.0,1.0,,0.77,8109999999.999999,6940000000.0,0.16858789625360227
LREN3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,399000000.0,-1455000000.0,0.8206,1.77,0.11380000000000001,0.09369999999999999,9.28,1.34,0.87,0.08,0.1441,0.1177,18870000000.0,1010000000.0,377430000.0,21610000.0,6170000000.0,2330000000.0,18870000000.0,10370000000.0,1813600000.0,9880000000.0,1493780000.0,15940000000.0,-86126000.0,,1.0,-0.1403085824493732,1.77,3370000000.0,3260000000.0,0.033742331288343586
PETR3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",4T2025 (TTM),1T2026,1T2026,1T2026,384025000000.0,333417000000.0,1.9297,0.71,0.2927,0.2223,6.24,1.65,1.38,0.09,0.26489999999999997,0.12869999999999998,1250000000000.0,34290000000.0,305240000000.0,66450000000.0,189170000000.0,610530000000.0,1250000000000.0,446370000000.0,143850000000.0,235890000000.0,108030000000.0,498100000000.0,2250000000.0,,1.0,0.7469520801129108,0.71,123690000000.0,123140000000.0,0.00446646093876879
PETR4,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",4T2025 (TTM),1T2026,1T2026,1T2026,384025000000.0,333417000000.0,1.9297,0.71,0.2927,0.2223,5.63,1.49,1.25,0.09,0.26489999999999997,0.12869999999999998,1250000000000.0,34290000000.0,305240000000.0,66450000000.0,189170000000.0,610530000000.0,1250000000000.0,446370000000.0,143850000000.0,235890000000.0,108030000000.0,498100000000.0,2250000000.0,,1.0,0.7469520801129108,0.71,123690000000.0,123140000000.0,0.00446646093876879
PINE3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,,,,1.1,,0.0977,6.56,1.97,0.66,0.01,0.30010000000000003,,33290000000.0,,,,12490000000.0,,33290000000.0,1760000000.0,,1440620000.0,523260000.0,5150000000.0,19788455.0,414317220.0,1.0,,1.1,1320000000.0,944910000.0,0.3969584404863955
PINE4,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,,,,1.1,,0.0977,7.02,2.11,0.69,0.01,0.30010000000000003,,35570000000.0,,,,12490000000.0,,35570000000.0,1730000000.0,,1203740000.0,520040000.0,5310000000.0,19788455.0,414317220.0,1.0,,1.1,1500000000.0,1050000000.0,0.4285714285714286
PRIO3,blue_chip_proxy_baixo_risco,baixo,"porte no quartil superior, lucro positivo, ROE >= 5% e margem líquida >= 5%",1T2026 (TTM),1T2026,1T2026,1T2026,26901000000.0,24107000000.0,1.3863,1.92,0.1808,0.14650000000000002,23.19,2.25,3.4,0.04,0.09720000000000001,0.05480000000000001,63550000000.0,2790000000.0,24950000000.0,1950000000.0,5550000000.0,31360000000.0,63550000000.0,26630000000.0,3192970000.0,4513980000.0,2588810000.0,17670000000.0,-2301100000.0,,1.0,0.905257228689448,1.92,6530000000.0,4440000000.0,0.4707207207207207
