Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2017,2016,2015,2014,2013,2012,2011,2010,2009
Margem EBITDA *,"10,88%","13,69%","13,76%","17,53%","14,98%","12,45%","11,69%","12,75%","12,82%","16,71%","18,16%","21,26%","16,33%","16,90%","19,38%","15,69%"
Margem operacional,"14,98%","14,75%","15,88%","14,34%","11,93%","16,79%","7,62%","7,69%","6,13%","9,95%","9,96%","11,30%","9,75%","10,17%","11,92%","14,35%"
ROE,"19,26%","17,91%","21,41%","24,22%","21,21%","19,10%","15,67%","8,23%","6,71%","10,99%","13,56%","17,14%","14,57%","17,39%","19,50%","16,47%"
ROA,"0,09","0,10","0,12","0,11","0,09","0,08","0,07","0,04","0,03","0,05","0,05","0,06","0,05","0,06","0,07","0,05"
ROIC,"13,18%","17,65%","21,34%","24,17%","14,96%","11,82%","9,42%","7,87%","5,80%","10,43%","11,73%","16,20%","11,82%","12,63%","13,93%","6,65%"
ROIC *,"6,79%","12,00%","14,13%","19,65%","12,67%","7,24%","8,09%","7,37%","5,87%","9,97%","13,28%","18,17%","10,71%","13,09%","15,50%","6,06%"
Giro do ativo,"0,63","0,75","0,81","0,88","0,78","0,59","0,76","0,64","0,62","0,65","0,72","0,85","0,75","0,85","0,85","0,57"
EBIT *,122 mi,197 mi,201 mi,308 mi,203 mi,87 mi,82 mi,54 mi,39 mi,72 mi,98 mi,139 mi,76 mi,92 mi,91 mi,31 mi
EBITDA,326 mi,359 mi,367 mi,437 mi,292 mi,186 mi,137 mi,91 mi,73 mi,111 mi,121 mi,157 mi,113 mi,115 mi,106 mi,61 mi
EBITDA *,210 mi,266 mi,264 mi,366 mi,255 mi,130 mi,124 mi,87 mi,74 mi,108 mi,133 mi,172 mi,105 mi,118 mi,115 mi,57 mi
Liquidez corrente,"2,60","3,16","2,92","2,71","2,96","2,28","2,51","3,26","2,41","2,85","2,40","2,77","1,71","1,71","1,93","1,85"
Liquidez seca,"2,11","2,41","2,30","2,05","2,08","1,82","1,87","2,58","1,87","2,16","1,88","2,09","1,27","1,21","1,35","1,42"
Liquidez imediata,"0,03","0,05","0,12","0,12","0,15","0,33","0,10","0,35","0,20","0,13","0,13","0,05","0,04","0,02","0,08","0,03"
Dívida bruta,1.011 mi,749 mi,685 mi,839 mi,929 mi,687 mi,535 mi,399 mi,340 mi,416 mi,453 mi,419 mi,383 mi,386 mi,294 mi,305 mi
Dívida líquida,-134 mi,-60 mi,-153 mi,186 mi,481 mi,244 mi,218 mi,112 mi,93 mi,165 mi,214 mi,271 mi,282 mi,307 mi,226 mi,217 mi
Capital de giro,1.228 mi,1.109 mi,1.021 mi,984 mi,945 mi,655 mi,515 mi,491 mi,339 mi,402 mi,351 mi,348 mi,187 mi,184 mi,171 mi,143 mi
Endividamento geral,"106,24%","82,66%","83,33%","112,61%","140,05%","140,10%","125,33%","121,17%","105,01%","129,29%","153,77%","166,88%","172,85%","194,37%","186,56%","207,58%"
