Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Margem EBIT,"2,35%","2,79%","3,55%","11,91%","-0,17%","-48,27%","3,08%","1,59%","1,93%","-3,19%","-4,26%","0,71%","15,16%","18,59%","14,25%","25,33%"
Margem EBIT *,"-2,52%","-4,75%","-3,50%","-3,59%","-1,74%","-17,57%","1,65%","2,04%","1,24%","-0,76%","-1,01%","4,64%","13,42%","13,00%","11,28%","15,13%"
Margem EBITDA,"8,01%","8,81%","8,31%","16,51%","5,38%","-32,77%","8,01%","6,50%","7,26%","2,87%","2,29%","8,45%","22,51%","26,70%","24,63%","36,00%"
Margem EBITDA *,"3,15%","1,27%","1,26%","1,01%","3,82%","-2,07%","6,58%","6,95%","6,57%","5,29%","5,55%","12,37%","20,77%","21,12%","21,67%","25,80%"
Margem operacional,"-4,92%","-3,46%","-2,56%","5,76%","-4,12%","-52,70%","-0,50%","0,49%","1,32%","-4,18%","-7,96%","-2,63%","13,50%","16,65%","11,11%","20,55%"
ROE,"-17,33%","-7,33%","-8,02%","6,43%","-7,14%","-40,09%","-1,38%","0,78%","0,37%","-7,34%","-8,21%","-0,90%","16,64%","20,44%","10,63%","29,12%"
ROA,"-0,06","-0,03","-0,03","0,02","-0,03","-0,17","-0,01","0,00","0,00","-0,05","-0,04","-0,00","0,07","0,11","0,05","0,13"
ROIC,"2,03%","2,14%","3,49%","10,45%","-0,14%","-27,13%","2,28%","1,95%","2,32%","-4,00%","-3,70%","0,18%","12,98%","19,87%","13,01%","20,46%"
ROIC *,"-2,18%","-3,64%","-3,43%","-3,15%","-1,40%","-9,88%","1,22%","2,50%","1,49%","-0,96%","-0,87%","1,19%","11,49%","13,90%","10,30%","12,22%"
Giro do ativo,"0,75","0,65","0,81","0,71","0,63","0,42","0,60","0,97","0,99","1,02","0,73","0,23","0,75","1,00","0,84","0,67"
EBIT *,-44 mi,-87 mi,-78 mi,-76 mi,-33 mi,-203 mi,26 mi,32 mi,18 mi,-12 mi,-17 mi,20 mi,39 mi,32 mi,23 mi,20 mi
EBITDA,138 mi,159 mi,185 mi,345 mi,99 mi,-379 mi,128 mi,102 mi,108 mi,44 mi,37 mi,37 mi,66 mi,67 mi,51 mi,48 mi
EBITDA *,54 mi,22 mi,28 mi,21 mi,70 mi,-24 mi,105 mi,109 mi,98 mi,81 mi,89 mi,54 mi,61 mi,53 mi,44 mi,35 mi
Liquidez corrente,"1,01","0,78","0,92","0,93","1,34","1,81","1,12","1,22","1,52","1,40","1,68","0,79","1,35","0,72","0,61","0,95"
Liquidez seca,"0,92","0,68","0,83","0,85","1,23","1,70","1,02","1,12","1,34","1,26","1,61","0,65","1,20","0,62","0,52","0,89"
Liquidez imediata,"0,28","0,35","0,42","0,39","0,94","1,35","0,67","0,71","0,75","0,76","0,50","0,25","0,65","0,13","0,18","0,61"
Dívida bruta,469 mi,579 mi,529 mi,664 mi,736 mi,673 mi,561 mi,297 mi,171 mi,129 mi,360 mi,479 mi,75 mi,28 mi,46 mi,61 mi
Dívida líquida,298 mi,361 mi,295 mi,290 mi,274 mi,136 mi,228 mi,29 mi,-13 mi,-61 mi,70 mi,394 mi,40 mi,22 mi,38 mi,37 mi
Capital de giro,3 mi,-139 mi,-43 mi,-56 mi,166 mi,324 mi,61 mi,81 mi,127 mi,100 mi,390 mi,-70 mi,19 mi,-14 mi,-17 mi,-3 mi
Endividamento geral,"168,23%","168,59%","167,88%","161,28%","161,94%","133,03%","134,53%","61,39%","50,65%","44,45%","84,78%","106,97%","150,13%","88,43%","130,77%","122,95%"
