Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Margem EBIT *,"-178,98%","-16,74%","-5,34%","0,17%","1,39%","2,45%","2,52%","-19,52%","-3.525,71%",--%,"-144,26%","-225,68%","2,09%","-0,83%","-57,73%","-1,36%","-4,06%"
Margem EBITDA,"-654,92%","-68,87%","-1,70%","11,14%","2,87%","4,97%","4,87%","-104,98%","-74.262,86%",--%,"-838,01%","-1.077,58%","-12,25%","-47,09%","-241,29%","12,12%","-90,71%"
Margem EBITDA *,"-175,56%","-10,76%","-2,99%","1,72%","2,87%","5,11%","6,10%","-12,73%","-2.614,29%",--%,"-83,95%","-202,29%","4,84%","3,48%","-51,38%","-0,10%","-3,22%"
Margem operacional,"-1.077,14%","-99,32%","-9,12%","-17,04%","-2,75%","-4,80%","-18,56%","-292,51%","-112.271,43%",--%,"-2.889,53%","-2.901,31%","-69,85%","-113,10%","-382,82%","-15,14%","-119,66%"
ROE,"73,96%","112,83%","-1.093,87%","223,65%","3,98%","2,11%","5,15%","20,42%","31,74%","36,45%","16,42%","49,26%","17,94%","41,55%","69,65%","44,42%","54,86%"
ROA,"-0,52","-0,42","-0,09","-0,22","-0,02","-0,03","-0,09","-0,32","-0,99","-0,62","-0,49","-1,15","-0,08","-0,16","-0,43","-0,07","-0,14"
ROIC,"-33,19%","-33,45%","-4,03%","13,17%","1,38%","1,59%","0,63%","-13,64%","-79,40%","-15,22%","-18,04%","-72,70%","-3,15%","-8,04%","-30,41%","4,41%","-30,51%"
ROIC *,"-9,02%","-7,48%","-5,31%","0,24%","1,38%","1,69%","1,24%","-2,38%","-3,72%","-2,03%","-2,90%","-14,90%","0,44%","-0,13%","-7,09%","-0,55%","-1,35%"
Giro do ativo,"0,05","0,42","0,94","1,27","0,90","0,65","0,48","0,11","0,00","0,00","0,02","0,06","0,20","0,14","0,11","0,37","0,30"
EBIT *,-3 mi,-4 mi,-4 mi,0 mi,0 mi,0 mi,0 mi,-1 mi,-2 mi,-1 mi,-1 mi,-5 mi,0 mi,-1 mi,-6 mi,-1 mi,-2 mi
EBITDA,-11 mi,-14 mi,-1 mi,8 mi,1 mi,1 mi,0 mi,-5 mi,-26 mi,-7 mi,-5 mi,-23 mi,-3 mi,-7 mi,-21 mi,4 mi,-24 mi
EBITDA *,-3 mi,-3 mi,-2 mi,1 mi,1 mi,1 mi,1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-5 mi,0 mi,0 mi,-5 mi,-1 mi,-1 mi
Liquidez corrente,"0,63","0,64","1,34","1,32","1,15","0,77","0,56","0,51","0,03","0,01","0,01","0,04","0,41","0,55","0,36","0,91","0,72"
Liquidez seca,"0,11","0,21","0,65","0,73","0,67","0,49","0,49","0,48","0,01","0,00","0,00","0,02","0,18","0,34","0,12","0,42","0,37"
Liquidez imediata,"0,01","0,00","0,03","0,07","0,15","0,05","0,01","0,10","0,00","0,00","0,00","0,00","0,00","0,07","0,00","0,07","0,01"
Dívida bruta,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,6 mi,6 mi,16 mi,14 mi,7 mi,8 mi,8 mi,9 mi,8 mi
Dívida líquida,-1 mi,-1 mi,-1 mi,-2 mi,-5 mi,-2 mi,-1 mi,-3 mi,6 mi,6 mi,16 mi,14 mi,7 mi,4 mi,8 mi,6 mi,6 mi
Capital de giro,-7 mi,-9 mi,7 mi,7 mi,4 mi,-6 mi,-13 mi,-15 mi,-44 mi,-67 mi,-77 mi,-66 mi,-42 mi,-27 mi,-37 mi,-4 mi,-13 mi
Endividamento geral,"-242,43%","-368,16%","12.717,34%","-1.124,22%","-260,75%","-167,90%","-157,71%","-164,10%","-132,22%","-158,65%","-133,81%","-142,84%","-324,72%","-359,79%","-261,76%","-725,75%","-485,17%"
